Country,Population,PopUnder15,PopOver60,HealthExp,AdultMortalityRate,HealthyLifeBirth,HealthyLifeBirthM,HealthyLifeBirthF,HealthyLife60,HealthyLife60M,HealthyLife60F,DoctorsPer100,NursesPer100,BasicSanitation,HighBloodPressure,HealthExpGDP,HealthExpUS,HealthExpPPP,HealthExpOPP,CleanWater,HealthRisks,CleanCities,PollPulmDisease,PollHeartDisease,PollRespInfect,PollStroke,PollsTBLCancer,PollTotalDeaths,TotalObesityPrev,ObesityPrevM,ObesityPrevF,DailyTobaccoUse,DailyTobaccoUseM,DailyTobaccoUseF,DailyTobaccoSmoke,DailyTobaccoSmokeM,DailyTobaccoSmokeF,DailyCigSmoke,DailyCigSmokeM,DailyCigSmokeF
Panama,4034,27.6,1.3,14.63,111,69.4,67.2,71.8,18.8,17.6,20,0,27.62,83,19.9,7.3,1112.3,1794.8,370.1,96,76,12,5,10,5,5,1,26,22.7,17.8,27.6,4.9,7.6,2.2,3,4.9,1.1,2.8,4.5,1
Paraguay,6725,29.7,1.8,11.92,146,65.3,64.2,66.4,16.3,15.6,17,0,6.666,90,24.6,6.7,381.1,866.6,168.4,100,65,11.7,5,19,8,10,3,46,20.3,17.1,23.4,8.3,13.7,2.9,8.3,13.7,2.9,6.9,11.8,2
Peru,31774,27.7,9.3,15,124,67.5,65.8,69.2,17,15.9,18,0,20.661,74,13.7,5,332.6,681.2,93.7,91,48,29,6,16,28,6,3,58,19.7,15.2,24.2,6.8,11.1,2.4,6.8,11.1,2.4,2.3,3.4,1.1
Philippines,103320,32,22.2,10.01,194,61.7,59.4,64.2,13.5,12.1,14.8,0,0,77,22.6,4.4,132.9,371.7,70.5,94,53,18.7,11,39,37,25,5,117,6.4,5.2,7.5,18.7,32.3,5.1,18.7,32.3,5.1,17.1,29.7,4.6
Poland,38224,14.8,25.7,10.7,111,68.5,65.4,71.7,16.6,14.5,18.4,23.252,57.802,99,28.7,6.5,906.8,1958.2,209,100,70,21.5,8,43,8,10,8,76,23.1,23.7,22.2,22.2,26.4,18,22.2,26.4,18,20.5,24.5,16.4
Portugal,10372,13.9,8.2,11.91,76,72,70,74,19.4,17.9,20.7,47.487,65.324,100,24.4,9,1908,2917.4,525.3,100,82,8.1,4,10,5,8,2,28,20.8,20.3,21.2,21.8,26.6,16.9,21.8,26.6,16.9,19.5,23.2,15.8
Qatar,2570,13.9,0.2,5.83,62,68.6,68.4,68.4,15.7,15.4,16.1,26.944,63.924,100,22.4,2.6,1649.2,3354.4,146.8,100,96,91.7,1,9,1,1,1,13,35.1,32.5,43.1,12,23.3,0.7,9.6,18.7,0.4,7.6,15,0.2
Republic of Korea,50792,13.7,28.2,12.28,61,73,70.7,75.1,19.7,17.6,21.4,22.494,59.843,100,11,7.6,2283.1,2980.2,768.7,100,97,24.7,5,8,9,7,6,35,4.7,4.4,4.8,20.6,36.1,5.1,20.6,36.1,5.1,19,33.6,4.3
Republic of Moldova,4060,15.7,2,13.32,167,63.6,60.7,66.4,13.7,12,15.1,24.836,50.036,76,29.8,7,191.2,476.7,83.4,89,60,16.5,5,69,6,22,5,107,18.9,16.2,21.1,21.1,37.3,4.8,21.1,37.3,4.8,19.2,34.3,4.1
Russian Federation,143965,17.3,85.6,9.49,203,63.5,59.1,67.5,14.9,12.4,16.7,37.494,89.663,90,27.2,5.3,585.9,1404.2,237.2,97,99,14.7,3,53,3,21,4,86,23.1,18.1,26.9,27.1,39.2,15.1,27.1,39.2,15.1,25.9,37.4,14.4
Rwanda,11918,40.5,1.6,9.86,198,59.9,58.8,61,14.2,13.8,14.5,1.129,9.882,67,26.7,6.6,49.2,134.4,3.1,58,71,40.7,6,11,32,10,0,59,5.8,1.9,9.3,10.6,15.7,5.5,9.1,15,3.2,6,11.1,0.8
Samoa,195,36.9,0,15.08,110,66,64.1,68,15.3,13.6,17,3.445,0,98,24,5.5,233.1,364,27.6,97,73,10.9,7,26,13,14,2,62,47.3,39.9,55,22.6,32.7,12.4,22.6,32.7,12.4,20,28.4,11.6
Sao Tome and Principe,200,43.2,0,12.39,191,60.7,59,62.3,14.1,13.4,14.7,3.159,22.166,43,25.8,6.2,119.7,209.2,16.5,84,32,25.2,14,14,35,14,4,82,12.4,7.2,16.9,4.1,7,1.1,3.3,6,0.7,3.3,6.2,0.4
Saudi Arabia,32276,25.5,5.1,8.21,89,65.7,65.5,65.8,14.3,14.1,14.7,23.776,56.705,100,23.3,5.2,1093.4,2826.3,184.3,100,75,86.7,2,21,8,7,1,39,35.4,30.8,42.3,12.8,24.6,1.1,10.9,21.1,0.6,7.4,14.4,0.3
Senegal,15412,43,2.1,8.04,185,58.8,57.3,60.1,12.9,12.2,13.5,2.074,1.919,51,30.2,4.1,55,143.1,28.8,81,54,39.7,6,21,35,11,0,74,8.8,4,12.9,7.4,14.1,0.6,6.3,12,0.5,5.2,10.2,0.2
Serbia,8820,16.6,6.2,13.86,103,67.4,65.4,69.4,15.1,13.6,16.3,24.603,76.174,98,29.5,8.4,528.5,1382.2,220.7,86,69,24.7,16,52,6,28,20,122,21.5,21.1,21.8,33.1,34.1,32.2,33.1,34.1,32.2,31.8,32.4,31.3
Seychelles,94,22,0,9.7,163,65.7,62.2,69.5,15.7,13.7,17.8,21.212,80.773,100,23.5,5,791.7,1485.5,194.7,96,53,18.6,5,23,16,9,3,56,14,7.6,20.5,16.3,28.2,4.5,16.3,28.2,4.5,14.5,25.5,3.4
Sierra Leone,7396,42.4,0.9,10.84,389,47.6,47.2,48.1,10.3,10.2,10.4,0,2.239,16,30.3,13.4,66.4,205.4,33.5,61,40,20.6,9,36,79,24,0,148,8.7,3.8,13.3,18.2,30.4,5.9,18.2,30.4,5.9,14.9,27.5,2.3
Singapore,5622,15.2,3,14.15,51,76.2,74.7,77.6,21,19.6,22.3,0,60.092,100,14.6,4.4,2618.7,4270,841.3,100,92,18.3,2,12,18,4,4,39,6.1,5.8,6.3,13.3,23,3.7,13.3,23,3.7,12.9,22.2,3.5
Slovakia,5444,15.3,3.3,14.95,104,68.3,65.3,71.2,16.3,14.2,18,34.438,60.093,98,28.5,6.7,1186.1,2184.2,222,100,73,18,4,34,6,9,6,59,20.5,21,19.9,24,29.8,18.3,24,29.8,18.3,21.3,26.8,15.8
